Rank,Team,Rating
1,"University of California, Los Angeles",1562
2,University of Louisiana Monroe,1560
3,Liberty University,1559
4,Oklahoma State University,1559
5,Mercer University,1559
6,Stanford University,1548
7,University of Memphis,1548
8,"University of North Carolina, Chapel Hill",1548
9,University of Virginia,1548
10,Florida State University,1548
11,Utah State University,1547
12,Fordham University,1546
13,Florida International University,1546
14,The Ohio State University,1546
15,"University of California, Davis",1546
16,Auburn University,1545
17,University of Kentucky,1545
18,University of Texas at Austin,1545
19,University of Illinois Urbana-Champaign,1545
20,"University of Colorado, Boulder",1545
21,U.S. Military Academy,1544
22,Boston College,1544
23,University of Louisville,1544
24,Syracuse University,1544
25,"University of Tennessee, Knoxville",1533
26,Eastern Michigan University,1533
27,"University of South Carolina, Columbia",1533
28,Elon University,1533
29,Michigan State University,1532
30,Boise State University,1532
31,New Mexico State University,1532
32,"University at Buffalo, the State University of New York",1532
33,Indiana State University,1532
34,Wake Forest University,1532
35,Baylor University,1532
36,Old Dominion University,1532
37,Xavier University,1532
38,Butler University,1532
39,University of Southern California,1532
40,Virginia Military Institute,1531
41,Santa Clara University,1531
42,Monmouth University,1531
43,Western Kentucky University,1531
44,U.S. Air Force Academy,1531
45,University of North Dakota,1531
46,University of New Mexico,1531
47,Vanderbilt University,1531
48,University of Richmond,1531
49,Presbyterian College,1531
50,Purdue University Fort Wayne,1531
51,University of Alabama,1531
52,"University of Minnesota, Twin Cities",1531
53,"Indiana University, Bloomington",1531
54,Dartmouth College,1531
55,Georgetown University,1530
56,Loyola University Chicago,1530
57,Kent State University,1530
58,Western Michigan University,1530
59,Southern Illinois University at Carbondale,1530
60,University of Missouri-Kansas City,1530
61,University of Akron,1530
62,Rice University,1530
63,Villanova University,1530
64,The Citadel,1530
65,University of Arizona,1530
66,Saint Joseph's University,1530
67,"University of Arkansas, Fayetteville",1530
68,Niagara University,1530
69,East Carolina University,1530
70,Radford University,1529
71,University of Nebraska Omaha,1529
72,La Salle University,1529
73,Morehead State University,1528
74,University of Texas at San Antonio,1528
75,Mississippi State University,1527
76,University of Louisiana at Lafayette,1527
77,University of Notre Dame,1518
78,U.S. Naval Academy,1518
79,University of Wisconsin-Madison,1518
80,Texas State University,1518
81,Washington State University,1518
82,University of Pittsburgh,1518
83,Utah Tech University,1518
84,Canisius University,1517
85,Lehigh University,1517
86,University of South Alabama,1517
87,"California State University, Fullerton",1517
88,University of Maine,1517
89,University of Central Florida,1517
90,Texas A&M University-Corpus Christi,1517
91,Arizona State University,1517
92,Eastern Washington University,1517
93,Saint Louis University,1517
94,Southern Methodist University,1517
95,Pennsylvania State University,1516
96,Northern Illinois University,1516
97,University of Oklahoma,1516
98,Seton Hall University,1516
99,Hofstra University,1516
100,Virginia Polytechnic Institute and State University,1516
101,Iowa State University,1516
102,Saint Peter's University,1516
103,Stony Brook University,1516
104,North Dakota State University,1516
105,University of Washington,1516
106,University of Iowa,1516
107,Duquesne University,1516
108,Loyola University Maryland,1516
109,New Jersey Institute of Technology,1516
110,Purdue University,1516
111,Bryant University,1516
112,University of North Florida,1515
113,Samford University,1515
114,University of Mississippi,1515
115,Northwestern University,1515
116,Campbell University,1515
117,"Texas A&M University, College Station",1515
118,University of Kansas,1515
119,The University of Tulsa,1515
120,Davidson College,1515
121,Princeton University,1515
122,"California State University, Fresno",1515
123,"University of California, Berkeley",1515
124,Charleston Southern University,1515
125,University of Utah,1515
126,University of Montana,1515
127,Harvard University,1515
128,University of Florida,1515
129,Southern Illinois University Edwardsville,1514
130,Utah Valley University,1514
131,Brigham Young University,1514
132,West Virginia University,1514
133,Austin Peay State University,1514
134,Stetson University,1514
135,University of Vermont,1514
136,Providence College,1514
137,Bowling Green State University,1514
138,Texas Christian University,1514
139,University of South Florida,1514
140,University of Dayton,1514
141,College of Charleston (South Carolina),1514
142,Appalachian State University,1513
143,Queens University of Charlotte,1513
144,Colorado State University,1513
145,University of Cincinnati,1513
146,University of Idaho,1513
147,University of North Carolina Wilmington,1513
148,Manhattan University,1503
149,University of Denver,1503
150,University of North Texas,1503
151,Grand Canyon University,1502
152,College of the Holy Cross,1502
153,Gonzaga University,1502
154,Central Michigan University,1502
155,Clemson University,1502
156,Missouri State University,1502
157,University of Houston,1502
158,Winthrop University,1501
159,Duke University,1501
160,Youngstown State University,1501
161,Bellarmine University,1501
162,St. John's University (New York),1501
163,Jacksonville State University,1501
164,American University,1501
165,Creighton University,1501
166,Drexel University,1501
167,University of Connecticut,1500
168,Texas Tech University,1500
169,University of Alabama at Birmingham,1500
170,Siena College,1500
171,Columbia University-Barnard College,1500
172,San Diego State University,1500
173,Colorado College,1500
174,Middle Tennessee State University,1500
175,Cornell University,1500
176,University of Georgia,1500
177,James Madison University,1500
178,Colgate University,1500
179,South Dakota State University,1499
180,"University of Nevada, Las Vegas",1499
181,Valparaiso University,1499
182,"California State University, Sacramento",1499
183,Mount St. Mary's University,1499
184,Fairfield University,1499
185,University of South Carolina Upstate,1499
186,University of Portland,1499
187,Ohio University,1499
188,Louisiana State University,1499
189,University of North Alabama,1499
190,Idaho State University,1499
191,Abilene Christian University,1499
192,University of South Dakota,1499
193,Rider University,1499
194,Georgia Southern University,1499
195,Arkansas State University,1499
196,Lipscomb University,1499
197,Bucknell University,1498
198,University of Northern Iowa,1498
199,Miami University (Ohio),1498
200,Sam Houston State University,1498
201,Howard University,1498
202,Tarleton State University,1498
203,University of Texas at El Paso,1498
204,Texas Southern University,1498
205,University of Oregon,1498
206,Loyola Marymount University,1497
207,Towson University,1497
208,"University of California, Irvine",1497
209,Binghamton University,1497
210,"University of Nevada, Reno",1496
211,Eastern Illinois University,1487
212,George Washington University,1487
213,Gardner-Webb University,1487
214,"University of Massachusetts, Amherst",1486
215,The University of North Carolina at Greensboro,1486
216,Lindenwood University,1486
217,"University of California, Santa Barbara",1486
218,William & Mary,1486
219,Long Beach State University,1486
220,Nicholls State University,1486
221,"California State University, Bakersfield",1486
222,"University of California, San Diego",1486
223,"University of Maryland, Baltimore County",1486
224,University of the Incarnate Word,1486
225,Pepperdine University,1485
226,University of San Francisco,1485
227,Ball State University,1485
228,University of Tennessee at Martin,1485
229,Georgia State University,1485
230,University of Evansville,1485
231,University at Albany,1485
232,The University of Southern Mississippi,1485
233,"University of Missouri, Columbia",1485
234,Saint Mary's College of California,1485
235,Troy University,1485
236,St. Mary's University (Texas),1485
237,Ashland University,1485
238,University of Findlay,1485
239,Boston University,1485
240,Seattle University,1485
241,California Polytechnic State University,1485
242,Le Moyne College,1485
243,Wofford College,1485
244,Jacksonville University,1485
245,Drake University,1485
246,Grambling State University,1485
247,University of Rhode Island,1485
248,Robert Morris University,1485
249,University of the Pacific,1485
250,Berry College,1485
251,North Carolina State University,1485
252,Illinois State University,1485
253,Western Carolina University,1485
254,Northern Arizona University,1485
255,West Chester University of Pennsylvania,1484
256,"University of Maryland, College Park",1484
257,University of Nebraska-Lincoln,1484
258,Quinnipiac University,1484
259,"University of Arkansas, Pine Bluff",1484
260,Merrimack College,1484
261,Austin College,1484
262,Louisiana Tech University,1484
263,Saint Anselm College,1484
264,North American,1484
265,Wilson College,1484
266,Southeast Missouri State University,1484
267,Union University,1484
268,John Brown,1484
269,University of New Hampshire,1484
270,Tiffin University,1484
271,Southeastern Louisiana University,1484
272,Morningside,1484
273,"University of Minnesota, Crookston",1484
274,Lafayette College,1484
275,Belmont University,1484
276,Yale University,1484
277,Texas A&M University-Commerce,1484
278,Emporia State University,1484
279,Montana State University Billings,1484
280,University of Massachusetts Lowell,1484
281,Saint Francis University ,1484
282,Southern Wesleyan University,1483
283,Wagner College,1483
284,Brown University,1483
285,"Rutgers, The State University of New Jersey, New Brunswick",1483
286,Asbury University,1483
287,University of Arkansas at Little Rock,1483
288,Jackson State University,1483
289,Stephen F. Austin State University,1483
290,Iona University,1483
291,Stonehill College,1483
292,Converse University,1483
293,University of Illinois Chicago,1483
294,University of Southern Indiana,1482
295,Northeastern University,1482
296,Prairie View A&M University,1482
297,Kansas State University,1482
298,"University of California, Riverside",1473
299,"California State University, Northridge",1473
300,Florida Atlantic University,1472
301,University of Central Arkansas,1471
302,Coastal Carolina University,1471
303,East Tennessee State University,1471
304,Eastern Kentucky University,1471
305,Oral Roberts University,1471
306,Central Connecticut State University,1470
307,University of Toledo,1470
308,University of North Carolina Asheville,1470
309,Marist College,1470
310,University of Michigan,1470
311,University of San Diego,1470
312,Hampton University,1470
313,DePaul University,1470
314,Murray State University,1470
315,San Jose State University,1470
316,The University of Texas Rio Grande Valley,1470
317,Wright State University,1469
318,University of Wisconsin-Milwaukee,1469
319,"University of Hawaii, Manoa",1469
320,California Baptist University,1469
321,University of West Georgia,1469
322,University of St. Thomas (Minnesota),1469
323,Alabama State University,1469
324,University of Miami (Florida),1469
325,McNeese State University,1469
326,Western Illinois University,1469
327,University of Pennsylvania,1469
328,Longwood University,1469
329,Emory & Henry University,1469
330,Indiana University Indianapolis,1469
331,Lamar University,1469
332,Florida Gulf Coast University,1469
333,Marshall University,1469
334,Oakland University,1469
335,University of Wyoming,1469
336,High Point University,1469
337,Houston Christian University,1469
338,George Mason University,1469
339,Chicago State University,1469
340,Delaware State University,1468
341,"Fairleigh Dickinson University, Metropolitan Campus",1468
342,Weber State University,1467
343,The University of North Carolina at Charlotte,1459
344,Mercyhurst University,1456
345,Northern Kentucky University,1456
346,Northwestern State University,1455
347,Marquette University,1455
348,St. Bonaventure University,1455
349,Cleveland State University,1455
350,University of Delaware,1455
351,Southern Utah University,1455
352,Virginia Commonwealth University,1454
353,Temple University,1454
354,University of Tennessee at Chattanooga,1454
355,Tennessee Technological University,1454
356,Portland State University,1454
357,Furman University,1454
358,Long Island University,1454
359,Sacred Heart University,1453
360,University of Detroit Mercy,1442
361,South Carolina State University,1442
362,Alabama A&M University,1440
363,University of Northern Colorado,1439
364,"Southern University, Baton Rouge",1438
365,Kennesaw State University,1438
