Rank,Team,RPI
1,Liberty University,4-0-0
2,Mercer University,4-0-0
3,Oklahoma State University,4-0-0
4,"University of California, Los Angeles",4-0-0
5,University of Louisiana Monroe,4-0-0
6,Syracuse University,3-0-1
7,University of Illinois Urbana-Champaign,3-0-1
8,University of Louisville,3-0-1
9,University of Texas at Austin,3-0-1
10,Auburn University,3-0-0
11,Baylor University,3-1-0
12,Boston College,3-0-0
13,Florida International University,3-0-0
14,Florida State University,3-0-0
15,Fordham University,3-0-0
16,Mississippi State University,3-1-0
17,Old Dominion University,3-1-0
18,Radford University,3-1-0
19,Rice University,3-1-0
20,Santa Clara University,3-1-0
21,Stanford University,3-0-0
22,The Ohio State University,3-0-0
23,U.S. Military Academy,3-0-0
24,U.S. Naval Academy,3-2-0
25,University of Alabama,3-1-0
26,University of Arizona,3-1-0
27,"University of California, Davis",3-0-0
28,"University of Colorado, Boulder",3-0-0
29,University of Kentucky,3-0-0
30,University of Memphis,3-0-0
31,"University of North Carolina, Chapel Hill",3-0-0
32,"University of Tennessee, Knoxville",3-1-0
33,University of Texas at San Antonio,3-1-0
34,University of Virginia,3-0-0
35,Utah State University,3-0-0
36,University of Louisiana at Lafayette,2-0-2
37,University of Missouri-Kansas City,2-0-2
38,University of Nebraska Omaha,2-0-2
39,University of North Dakota,2-0-2
40,Butler University,2-0-1
41,Colorado State University,2-1-1
42,East Carolina University,2-0-1
43,Iowa State University,2-1-1
44,Kent State University,2-0-1
45,La Salle University,2-0-1
46,Loyola University Chicago,2-0-1
47,Michigan State University,2-0-1
48,Monmouth University,2-0-1
49,Morehead State University,2-0-1
50,New Mexico State University,2-0-1
51,Purdue University,2-1-1
52,Purdue University Fort Wayne,2-0-1
53,Samford University,2-1-1
54,The University of Tulsa,2-1-1
55,University of Akron,2-0-1
56,"University of Arkansas, Fayetteville",2-0-1
57,"University of California, Berkeley",2-1-1
58,University of North Carolina Wilmington,2-1-1
59,University of North Florida,2-1-1
60,University of Richmond,2-0-1
61,University of Southern California,2-0-1
62,Utah Valley University,2-1-1
63,Wake Forest University,2-0-1
64,Western Kentucky University,2-0-1
65,Western Michigan University,2-0-1
66,Boise State University,2-0-0
67,Bowling Green State University,2-1-0
68,Bryant University,2-1-0
69,"California State University, Fullerton",2-1-0
70,College of Charleston (South Carolina),2-1-0
71,Colorado College,2-2-0
72,Dartmouth College,2-0-0
73,Duquesne University,2-1-0
74,Eastern Michigan University,2-0-0
75,Eastern Washington University,2-1-0
76,Elon University,2-0-0
77,Georgetown University,2-0-0
78,Indiana State University,2-0-0
79,"Indiana University, Bloomington",2-0-0
80,Loyola University Maryland,2-1-0
81,Manhattan University,2-2-0
82,Niagara University,2-0-0
83,Northwestern University,2-1-0
84,Pennsylvania State University,2-1-0
85,Presbyterian College,2-0-0
86,Providence College,2-1-0
87,Queens University of Charlotte,2-1-0
88,Saint Joseph's University,2-0-0
89,Saint Peter's University,2-1-0
90,Seton Hall University,2-1-0
91,South Dakota State University,2-2-0
92,Southern Illinois University at Carbondale,2-0-0
93,Southern Methodist University,2-1-0
94,Stetson University,2-1-0
95,Tarleton State University,1-1-3
96,"Texas A&M University, College Station",2-1-0
97,Texas Christian University,2-1-0
98,Texas State University,2-1-0
99,Texas Tech University,2-2-0
100,The Citadel,2-0-0
101,U.S. Air Force Academy,2-0-0
102,"University at Buffalo, the State University of New York",2-0-0
103,University of Cincinnati,2-1-0
104,University of Dayton,2-1-0
105,University of Denver,2-2-0
106,University of Idaho,2-1-0
107,"University of Minnesota, Twin Cities",2-0-0
108,University of Mississippi,2-1-0
109,University of Montana,2-1-0
110,"University of Nevada, Reno",2-2-0
111,University of New Mexico,2-0-0
112,University of North Texas,2-2-0
113,University of Notre Dame,2-1-0
114,University of Oklahoma,2-1-0
115,University of Oregon,2-2-0
116,University of Pittsburgh,2-1-0
117,University of South Alabama,2-1-0
118,"University of South Carolina, Columbia",2-0-0
119,University of South Florida,2-1-0
120,University of Wisconsin-Madison,2-1-0
121,Vanderbilt University,2-0-0
122,Villanova University,2-0-0
