home_team,away_team,home_score,away_score,start_date
Western Michigan University,Northern Kentucky University,3,0,08-15-2024
DePaul University,Northern Illinois University,0,0,08-15-2024
University of Miami (Florida),University of North Florida,0,1,08-15-2024
Indiana University Indianapolis,University of Toledo,1,1,08-15-2024
High Point University,Liberty University,1,3,08-15-2024
Auburn University,Clemson University,4,0,08-15-2024
Providence College,University of Rhode Island,1,0,08-15-2024
University of Notre Dame,Michigan State University,1,2,08-15-2024
Pennsylvania State University,Texas Tech University,4,0,08-15-2024
University of Michigan,Utah Valley University,1,2,08-15-2024
Purdue University,Washington State University,1,0,08-15-2024
Samford University,Tennessee Technological University,3,1,08-15-2024
Old Dominion University,Virginia Commonwealth University,2,1,08-15-2024
"University of California, Berkeley","University of California, San Diego",2,1,08-15-2024
Iowa State University,Western Illinois University,3,0,08-15-2024
Troy University,Eastern Washington University,2,1,08-15-2024
University of Texas at San Antonio,U.S. Naval Academy,2,1,08-15-2024
University of Illinois Chicago,Chicago State University,2,0,08-15-2024
Austin Peay State University,Western Kentucky University,1,1,08-15-2024
University of Mississippi,"Southern University, Baton Rouge",4,0,08-15-2024
University of Nebraska Omaha,Southern Illinois University Edwardsville,1,1,08-15-2024
University of Evansville,Lipscomb University,0,0,08-15-2024
Florida Atlantic University,University of Central Florida,1,5,08-15-2024
Coastal Carolina University,University of Richmond,1,1,08-15-2024
The University of North Carolina at Charlotte,University of North Carolina Wilmington,1,2,08-15-2024
Howard University,Saint Peter's University,4,2,08-15-2024
Mount St. Mary's University,Hampton University,4,0,08-15-2024
Wagner College,Rider University,0,0,08-15-2024
Syracuse University,"University of Massachusetts, Amherst",2,0,08-15-2024
"University at Buffalo, the State University of New York",St. Bonaventure University,1,0,08-15-2024
North Carolina State University,Appalachian State University,0,0,08-15-2024
Kennesaw State University,Mercer University,1,2,08-15-2024
College of Charleston (South Carolina),South Carolina State University,7,0,08-15-2024
University of South Florida,Florida State University,0,5,08-15-2024
Bowling Green State University,University of Detroit Mercy,3,1,08-15-2024
Loyola University Maryland,University of Dayton,1,2,08-15-2024
Georgia State University,University of Tennessee at Chattanooga,2,2,08-15-2024
Miami University (Ohio),Eastern Kentucky University,4,0,08-15-2024
Marshall University,Morehead State University,1,1,08-15-2024
Florida Gulf Coast University,Florida International University,1,2,08-15-2024
Wofford College,Presbyterian College,2,3,08-15-2024
Temple University,Monmouth University,0,1,08-15-2024
West Virginia University,University of Delaware,2,0,08-15-2024
Butler University,Ohio University,1,1,08-15-2024
University of Massachusetts Lowell,Merrimack College,0,1,08-15-2024
University of Cincinnati,Murray State University,2,1,08-15-2024
Fordham University,Manhattan University,2,1,08-15-2024
Gardner-Webb University,Stetson University,1,2,08-15-2024
Radford University,William & Mary,4,1,08-15-2024
Elon University,George Mason University,1,0,08-15-2024
Kent State University,Cleveland State University,2,1,08-15-2024
Duquesne University,Mercyhurst University,6,2,08-15-2024
The Ohio State University,Duke University,1,0,08-15-2024
Mississippi State University,Baylor University,1,0,08-15-2024
University of Louisiana Monroe,"University of Arkansas, Pine Bluff",9,0,08-15-2024
The University of Texas Rio Grande Valley,Texas Southern University,0,1,08-15-2024
University of Kentucky,Central Michigan University,2,0,08-15-2024
University of Louisville,Bellarmine University,7,0,08-15-2024
"University of Minnesota, Twin Cities",Creighton University,2,1,08-15-2024
"Indiana University, Bloomington","University of Tennessee, Knoxville",1,0,08-15-2024
University of Illinois Urbana-Champaign,Wright State University,6,0,08-15-2024
Saint Mary's College of California,"University of California, Irvine",0,3,08-15-2024
"University of California, Davis","California State University, Sacramento",2,0,08-15-2024
Texas A&M University-Corpus Christi,University of North Dakota,1,1,08-15-2024
Southern Methodist University,Northwestern State University,3,0,08-15-2024
Rice University,Texas State University,2,1,08-15-2024
Lamar University,"Texas A&M University, College Station",0,5,08-15-2024
Loyola University Chicago,Eastern Illinois University,4,0,08-15-2024
Texas A&M University-Commerce,Oral Roberts University,4,1,08-15-2024
Texas Christian University,University of Alabama,3,0,08-15-2024
University of Memphis,Alabama A&M University,5,1,08-15-2024
South Dakota State University,University of Kansas,1,2,08-15-2024
Saint Louis University,University of Missouri-Kansas City,0,0,08-15-2024
University of North Alabama,University of Tennessee at Martin,1,0,08-15-2024
Jacksonville State University,University of West Georgia,1,0,08-15-2024
University of the Incarnate Word,Tarleton State University,1,1,08-15-2024
University of South Alabama,Louisiana State University,0,3,08-15-2024
Kansas State University,"University of Nevada, Reno",1,2,08-15-2024
University of Texas at Austin,University of Houston,1,0,08-15-2024
University of Alabama at Birmingham,East Tennessee State University,1,0,08-15-2024
Nicholls State University,Louisiana Tech University,0,0,08-15-2024
"University of Missouri, Columbia",Missouri State University,2,0,08-15-2024
"University of Arkansas, Fayetteville",John Brown,7,1,08-15-2024
McNeese State University,University of Louisiana at Lafayette,1,2,08-15-2024
University of North Texas,University of Oklahoma,0,1,08-15-2024
Prairie View A&M University,North American,2,1,08-15-2024
University of Nebraska-Lincoln,Oklahoma State University,0,2,08-15-2024
Sam Houston State University,Stephen F. Austin State University,1,1,08-15-2024
Brigham Young University,University of Wisconsin-Madison,1,0,08-15-2024
Colorado State University,Idaho State University,0,0,08-15-2024
University of San Francisco,Stanford University,0,1,08-15-2024
University of Northern Colorado,U.S. Air Force Academy,0,4,08-15-2024
University of Denver,"University of North Carolina, Chapel Hill",1,2,08-15-2024
"University of Colorado, Boulder",Marquette University,3,0,08-15-2024
Weber State University,Utah Tech University,1,1,08-15-2024
New Mexico State University,University of Southern California,2,2,08-15-2024
San Jose State University,Santa Clara University,0,4,08-15-2024
"University of Nevada, Las Vegas",Southern Utah University,3,1,08-15-2024
University of Oregon,Seattle University,1,0,08-15-2024
Long Beach State University,"University of California, Los Angeles",0,3,08-15-2024
University of Washington,University of Wyoming,0,0,08-15-2024
"University of California, Santa Barbara",Loyola Marymount University,0,2,08-15-2024
University of the Pacific,Houston Christian University,2,1,08-15-2024
California Baptist University,"California State University, Northridge",1,0,08-15-2024
"California State University, Fullerton",University of San Diego,3,0,08-15-2024
San Diego State University,"California State University, Bakersfield",3,0,08-15-2024
Grand Canyon University,University of Arizona,0,1,08-15-2024
California Polytechnic State University,University of Portland,1,1,08-15-2024
University of Utah,Gonzaga University,2,1,08-15-2024
Pepperdine University,Utah State University,0,4,08-15-2024
"University of California, Riverside",University of Idaho,0,1,08-15-2024
"University of Hawaii, Manoa",Georgia Southern University,3,2,08-16-2024
The University of Tulsa,University of Central Arkansas,5,2,08-16-2024
University of Montana,Colorado College,1,0,08-16-2024
Seton Hall University,Marist College,2,1,08-16-2024
University of Florida,Western Carolina University,2,0,08-16-2024
Southeastern Louisiana University,Grambling State University,0,0,08-16-2024
Boise State University,Portland State University,2,1,08-16-2024
Arizona State University,Northern Arizona University,1,1,08-16-2024
"California State University, Sacramento",Houston Christian University,3,1,08-17-2024
University at Albany,Long Island University,3,1,08-17-2024
University of Connecticut,University of Vermont,2,2,08-17-2024
Abilene Christian University,University of Texas at El Paso,0,0,08-17-2024
University of North Texas,University of Alabama,1,2,08-17-2024
South Carolina State University,Queens University of Charlotte,0,2,08-18-2024
University of Nebraska-Lincoln,Colorado State University,3,2,08-18-2024
Rice University,U.S. Naval Academy,2,1,08-18-2024
George Washington University,Binghamton University,2,3,08-18-2024
Sacred Heart University,La Salle University,1,2,08-18-2024
The University of North Carolina at Charlotte,Texas Christian University,0,3,08-18-2024
Colorado College,University of Iowa,1,4,08-18-2024
"University of Maryland, College Park",Stony Brook University,2,2,08-18-2024
University of Virginia,Northwestern University,2,0,08-18-2024
"Rutgers, The State University of New Jersey, New Brunswick",Wake Forest University,1,1,08-18-2024
University of Northern Iowa,Western Illinois University,5,1,08-18-2024
Marquette University,University of Missouri-Kansas City,1,1,08-18-2024
University of Toledo,University of Cincinnati,2,3,08-18-2024
Kennesaw State University,Eastern Washington University,2,3,08-18-2024
Liberty University,Old Dominion University,2,0,08-18-2024
Boston College,Merrimack College,5,1,08-18-2024
U.S. Military Academy,Manhattan University,3,0,08-18-2024
Bryant University,Siena College,0,1,08-18-2024
East Tennessee State University,Eastern Kentucky University,1,0,08-18-2024
Wofford College,Stetson University,1,0,08-18-2024
Niagara University,Mercyhurst University,2,0,08-18-2024
Syracuse University,University of Maine,1,1,08-18-2024
West Virginia University,Radford University,5,0,08-18-2024
Youngstown State University,Kent State University,2,2,08-18-2024
University of Illinois Urbana-Champaign,DePaul University,2,1,08-18-2024
Texas A&M University-Corpus Christi,Tarleton State University,0,0,08-18-2024
Eastern Illinois University,University of Akron,1,1,08-18-2024
Mississippi State University,Northwestern State University,4,0,08-18-2024
"Southern University, Baton Rouge",University of Louisiana Monroe,0,2,08-18-2024
University of South Dakota,Morningside,5,0,08-18-2024
University of Texas at Austin,"California State University, Bakersfield",4,0,08-18-2024
