team,wins,losses,draws,wp,owp,oowp,rpi
Florida State University,25,0,1,0.98,0.62,0.59,0.7
Brigham Young University,21,3,5,0.81,0.67,0.57,0.68
Pennsylvania State University,18,4,4,0.77,0.65,0.59,0.67
Stanford University,23,1,4,0.89,0.6,0.57,0.66
"University of North Carolina, Chapel Hill",16,2,8,0.77,0.64,0.59,0.66
Clemson University,19,5,4,0.75,0.64,0.58,0.65
"University of California, Los Angeles",20,2,1,0.89,0.58,0.56,0.65
University of Pittsburgh,19,7,1,0.72,0.66,0.56,0.65
"University of Arkansas, Fayetteville",17,5,3,0.74,0.6,0.6,0.64
University of Georgia,14,5,6,0.68,0.65,0.58,0.64
"University of Nebraska, Lincoln",10,1,2,0.85,0.58,0.56,0.64
University of Notre Dame,14,5,4,0.7,0.64,0.58,0.64
Georgetown University,14,2,7,0.76,0.61,0.55,0.63
Saint Louis University,20,3,4,0.81,0.59,0.54,0.63
Harvard University,13,4,2,0.74,0.6,0.55,0.62
Michigan State University,16,5,4,0.72,0.6,0.57,0.62
Mississippi State University,15,7,5,0.65,0.63,0.56,0.62
Texas Tech University,18,4,5,0.76,0.59,0.56,0.62
University of Memphis,23,2,0,0.92,0.51,0.55,0.62
University of Texas at Austin,20,5,3,0.77,0.58,0.55,0.62
Brown University,12,4,2,0.72,0.58,0.55,0.61
Princeton University,11,5,4,0.65,0.62,0.56,0.61
University of Alabama,15,6,5,0.67,0.61,0.56,0.61
University of Southern California,13,5,4,0.68,0.6,0.57,0.61
University of Wisconsin-Madison,16,6,4,0.69,0.6,0.57,0.61
Xavier University,16,4,4,0.75,0.58,0.54,0.61
Columbia University-Barnard College,11,5,4,0.65,0.61,0.54,0.6
"Indiana University, Bloomington",14,4,4,0.73,0.55,0.58,0.6
"Texas A&M University, College Station",12,9,4,0.56,0.65,0.55,0.6
The Ohio State University,12,8,2,0.59,0.63,0.56,0.6
University of Iowa,14,5,6,0.68,0.59,0.56,0.6
"University of South Carolina, Columbia",14,3,6,0.74,0.55,0.57,0.6
"University of Tennessee, Knoxville",12,8,4,0.58,0.64,0.55,0.6
Santa Clara University,17,6,2,0.72,0.55,0.55,0.59
University of Central Florida,11,7,3,0.6,0.6,0.57,0.59
University of Connecticut,12,4,6,0.68,0.56,0.54,0.59
University of South Alabama,18,2,3,0.85,0.49,0.52,0.59
Utah State University,17,8,1,0.67,0.58,0.53,0.59
Arizona State University,11,7,6,0.58,0.59,0.55,0.58
Auburn University,11,7,5,0.59,0.57,0.58,0.58
Duke University,7,8,3,0.47,0.64,0.59,0.58
Liberty University,19,4,1,0.81,0.5,0.51,0.58
Louisiana State University,9,9,4,0.5,0.63,0.56,0.58
Old Dominion University,16,4,5,0.74,0.54,0.52,0.58
"Rutgers, The State University of New Jersey, New Brunswick",9,7,5,0.55,0.6,0.56,0.58
Texas Christian University,12,7,3,0.61,0.58,0.57,0.58
University of Kentucky,13,3,6,0.73,0.52,0.56,0.58
University of Nebraska-Lincoln,8,5,1,0.61,0.58,0.57,0.58
University of Virginia,11,3,6,0.7,0.52,0.57,0.58
Gonzaga University,15,5,3,0.72,0.52,0.53,0.57
Oklahoma State University,16,8,0,0.67,0.53,0.54,0.57
Southern Methodist University,13,7,1,0.64,0.56,0.53,0.57
University of Arizona,9,9,5,0.5,0.63,0.54,0.57
"University of Colorado, Boulder",16,5,3,0.73,0.49,0.57,0.57
University of Dayton,15,3,5,0.76,0.5,0.51,0.57
University of Louisiana Monroe,13,2,8,0.74,0.52,0.49,0.57
University of South Florida,12,7,2,0.62,0.55,0.54,0.57
Vanderbilt University,10,5,5,0.62,0.54,0.56,0.57
Wake Forest University,12,3,6,0.71,0.5,0.57,0.57
Bucknell University,13,5,5,0.67,0.53,0.53,0.56
Dartmouth College,9,3,5,0.68,0.52,0.53,0.56
James Madison University,9,5,10,0.58,0.57,0.53,0.56
New Mexico State University,12,6,4,0.64,0.54,0.5,0.56
Pepperdine University,10,7,5,0.57,0.57,0.54,0.56
Providence College,12,6,5,0.63,0.54,0.55,0.56
Samford University,14,5,6,0.68,0.52,0.51,0.56
Towson University,16,4,3,0.76,0.5,0.49,0.56
"University of California, Berkeley",9,7,7,0.54,0.58,0.56,0.56
University of Florida,7,5,8,0.55,0.56,0.56,0.56
University of Michigan,7,9,4,0.45,0.62,0.57,0.56
"University of Minnesota, Twin Cities",9,6,4,0.58,0.54,0.56,0.56
University of Mississippi,8,9,3,0.47,0.61,0.54,0.56
University of Wisconsin-Milwaukee,12,5,5,0.66,0.53,0.5,0.56
Washington State University,11,7,4,0.59,0.56,0.54,0.56
West Virginia University,10,8,4,0.55,0.57,0.54,0.56
Western Michigan University,14,4,4,0.73,0.5,0.52,0.56
Baylor University,12,8,3,0.59,0.53,0.55,0.55
Bowling Green State University,12,7,2,0.62,0.52,0.52,0.55
Georgia Southern University,13,7,1,0.64,0.52,0.52,0.55
Hofstra University,12,5,2,0.68,0.5,0.51,0.55
Lamar University,15,4,4,0.74,0.49,0.48,0.55
Monmouth University,13,6,3,0.66,0.51,0.51,0.55
Northwestern University,11,6,4,0.62,0.52,0.55,0.55
San Diego State University,15,4,3,0.75,0.48,0.51,0.55
St. John's University (New York),10,6,4,0.6,0.54,0.53,0.55
U.S. Military Academy,13,6,4,0.65,0.53,0.51,0.55
University of Illinois Urbana-Champaign,9,8,4,0.52,0.56,0.56,0.55
"University of Missouri, Columbia",6,11,4,0.38,0.63,0.55,0.55
University of Montana,15,4,3,0.75,0.47,0.52,0.55
University of Oklahoma,10,11,2,0.48,0.59,0.53,0.55
University of Utah,7,8,7,0.48,0.59,0.56,0.55
University of Washington,10,5,7,0.61,0.53,0.54,0.55
Virginia Polytechnic Institute and State University,8,8,4,0.5,0.58,0.56,0.55
Appalachian State University,10,6,5,0.6,0.52,0.52,0.54
Boise State University,13,4,6,0.7,0.48,0.52,0.54
Butler University,8,8,7,0.5,0.56,0.54,0.54
Colorado State University,14,7,5,0.63,0.52,0.5,0.54
Grand Canyon University,14,6,5,0.66,0.49,0.52,0.54
La Salle University,14,6,4,0.67,0.49,0.51,0.54
Long Beach State University,11,8,5,0.56,0.54,0.53,0.54
Quinnipiac University,13,5,1,0.71,0.5,0.47,0.54
University of Maine,12,2,7,0.74,0.46,0.49,0.54
University of Portland,11,5,4,0.65,0.5,0.52,0.54
Utah Valley University,11,6,6,0.61,0.51,0.52,0.54
West Chester University of Pennsylvania,0,2,0,0.0,0.75,0.65,0.54
Western Carolina University,14,7,4,0.64,0.51,0.49,0.54
Boston College,6,9,6,0.43,0.57,0.54,0.53
Drake University,13,5,4,0.68,0.46,0.5,0.53
East Carolina University,10,5,7,0.61,0.49,0.52,0.53
Florida Gulf Coast University,12,7,5,0.6,0.52,0.48,0.53
Indiana University-Purdue University Indianapolis,11,3,5,0.71,0.46,0.48,0.53
Kent State University,14,7,3,0.65,0.49,0.51,0.53
Loyola University Maryland,13,7,0,0.65,0.48,0.51,0.53
Missouri State University,13,3,6,0.73,0.45,0.51,0.53
Oregon State University,4,8,7,0.39,0.59,0.55,0.53
Saint Mary's College of California,11,7,4,0.59,0.5,0.52,0.53
South Dakota State University,14,6,4,0.67,0.47,0.52,0.53
Texas State University,11,8,4,0.57,0.53,0.5,0.53
"University at Buffalo, the State University of New York",9,5,6,0.6,0.51,0.51,0.53
"University of California, Irvine",11,9,7,0.54,0.53,0.51,0.53
University of Cincinnati,6,9,7,0.43,0.56,0.56,0.53
University of Denver,10,4,7,0.64,0.47,0.53,0.53
University of Louisville,7,9,6,0.45,0.57,0.55,0.53
University of North Texas,10,7,3,0.57,0.52,0.5,0.53
University of Texas at San Antonio,10,8,4,0.55,0.53,0.5,0.53
Westmont College,1,0,0,1.0,0.32,0.48,0.53
Boston University,7,8,7,0.48,0.54,0.51,0.52
California Polytechnic State University,10,9,4,0.52,0.53,0.5,0.52
Creighton University,5,10,5,0.38,0.57,0.54,0.52
East Tennessee State University,12,6,5,0.63,0.48,0.49,0.52
Florida Atlantic University,8,8,8,0.5,0.52,0.53,0.52
John Brown,0,1,0,0.0,0.73,0.6,0.52
Lehigh University,8,5,5,0.58,0.49,0.51,0.52
Lipscomb University,15,6,2,0.7,0.44,0.5,0.52
North Carolina State University,4,11,7,0.34,0.59,0.56,0.52
Ohio University,10,9,6,0.52,0.52,0.51,0.52
Radford University,15,7,2,0.67,0.46,0.48,0.52
The University of North Carolina at Charlotte,9,10,5,0.48,0.53,0.53,0.52
University of Alabama at Birmingham,7,8,6,0.48,0.54,0.52,0.52
University of Louisiana at Lafayette,9,9,4,0.5,0.54,0.51,0.52
University of Nebraska Omaha,9,5,9,0.59,0.5,0.49,0.52
University of Northern Iowa,14,6,1,0.69,0.44,0.5,0.52
University of San Francisco,7,11,3,0.4,0.57,0.53,0.52
Valparaiso University,12,7,6,0.6,0.5,0.48,0.52
"California State University, Fullerton",10,6,7,0.59,0.46,0.52,0.51
Georgia State University,9,6,7,0.57,0.48,0.52,0.51
Iowa State University,8,12,2,0.41,0.56,0.52,0.51
Loyola University Chicago,9,7,5,0.55,0.48,0.51,0.51
Marquette University,5,13,5,0.33,0.59,0.53,0.51
Marshall University,7,10,2,0.42,0.56,0.5,0.51
Morehead State University,11,6,6,0.61,0.47,0.49,0.51
Northern Kentucky University,8,7,8,0.52,0.51,0.49,0.51
Purdue University,5,14,3,0.3,0.59,0.54,0.51
Tennessee Technological University,9,9,5,0.5,0.52,0.48,0.51
"University of California, Davis",13,7,2,0.64,0.44,0.5,0.51
"University of Massachusetts, Amherst",10,7,4,0.57,0.49,0.51,0.51
University of New Mexico,7,6,6,0.53,0.5,0.5,0.51
University of Vermont,11,7,3,0.6,0.47,0.5,0.51
William & Mary,10,6,7,0.59,0.48,0.5,0.51
Yale University,4,8,5,0.38,0.57,0.53,0.51
Ball State University,8,9,3,0.47,0.51,0.51,0.5
California Baptist University,12,5,6,0.65,0.43,0.5,0.5
Central Connecticut State University,10,7,5,0.57,0.49,0.46,0.5
Cornell University,4,5,7,0.47,0.49,0.54,0.5
DePaul University,6,9,5,0.42,0.53,0.52,0.5
Duquesne University,10,9,4,0.52,0.49,0.5,0.5
Fairfield University,11,7,4,0.59,0.48,0.47,0.5
Florida International University,10,6,5,0.6,0.45,0.5,0.5
Mercer University,14,6,5,0.66,0.43,0.49,0.5
Merrimack College,11,6,4,0.62,0.45,0.47,0.5
Northeastern University,8,5,7,0.57,0.47,0.51,0.5
Oral Roberts University,9,10,4,0.48,0.51,0.49,0.5
Seton Hall University,8,8,5,0.5,0.49,0.51,0.5
Stony Brook University,7,6,7,0.53,0.49,0.48,0.5
The University of Southern Mississippi,6,10,3,0.39,0.53,0.53,0.5
University of Idaho,13,6,3,0.66,0.43,0.47,0.5
University of Kansas,5,8,7,0.42,0.52,0.54,0.5
University of Massachusetts Lowell,6,8,7,0.45,0.54,0.48,0.5
University of Miami (Florida),3,12,5,0.28,0.58,0.56,0.5
University of New Hampshire,6,6,6,0.5,0.5,0.49,0.5
University of North Alabama,12,6,6,0.62,0.45,0.47,0.5
University of Tennessee at Chattanooga,10,10,2,0.5,0.5,0.5,0.5
Utah Tech University,9,7,7,0.54,0.5,0.47,0.5
Campbell University,5,6,9,0.47,0.49,0.5,0.49
Canisius University,10,4,5,0.66,0.42,0.45,0.49
College of the Holy Cross,6,8,5,0.45,0.52,0.49,0.49
Furman University,7,8,7,0.48,0.5,0.49,0.49
Grambling State University,15,6,6,0.67,0.42,0.46,0.49
Hanover College,0,1,0,0.0,0.71,0.55,0.49
High Point University,6,7,7,0.47,0.51,0.48,0.49
Northern Illinois University,9,8,4,0.52,0.47,0.5,0.49
Southern Illinois University Edwardsville,6,6,8,0.5,0.5,0.46,0.49
The University of Tulsa,7,10,6,0.43,0.5,0.52,0.49
University of Central Arkansas,8,9,5,0.48,0.49,0.49,0.49
University of Houston,9,9,3,0.5,0.47,0.53,0.49
University of the Pacific,10,11,1,0.48,0.48,0.51,0.49
Virginia Commonwealth University,5,12,4,0.33,0.57,0.51,0.49
Western Kentucky University,8,5,8,0.57,0.45,0.5,0.49
Arkansas State University,4,8,5,0.38,0.52,0.51,0.48
Binghamton University,7,6,7,0.53,0.46,0.47,0.48
Colgate University,5,13,3,0.31,0.57,0.49,0.48
Drexel University,8,9,3,0.47,0.49,0.49,0.48
Lafayette College,7,9,1,0.44,0.49,0.49,0.48
Louisiana Tech University,6,12,6,0.38,0.52,0.49,0.48
Manhattan University,2,2,0,0.5,0.49,0.43,0.48
Miami University (Ohio),9,11,2,0.45,0.48,0.5,0.48
Montana State University Billings,0,2,0,0.0,0.72,0.47,0.48
North Dakota State University,6,6,6,0.5,0.47,0.47,0.48
Northern Arizona University,11,6,5,0.61,0.41,0.5,0.48
Rice University,6,14,2,0.32,0.54,0.51,0.48
Saint Joseph's University,6,8,6,0.45,0.48,0.5,0.48
Sam Houston State University,7,8,5,0.47,0.49,0.47,0.48
Seattle University,10,10,3,0.5,0.46,0.5,0.48
Syracuse University,5,14,3,0.3,0.55,0.53,0.48
U.S. Air Force Academy,8,9,3,0.47,0.48,0.5,0.48
U.S. Naval Academy,11,9,3,0.54,0.44,0.5,0.48
