Rank,Team,RPI
1,"Indiana University, Bloomington",0.95
2,Lehigh University,0.88
3,University of Virginia,0.86
4,Florida State University,0.85
5,"University of North Carolina, Chapel Hill",0.85
6,Stanford University,0.84
7,Michigan State University,0.83
8,Auburn University,0.8
9,University of Pittsburgh,0.8
10,University of Kentucky,0.77
11,University of Notre Dame,0.76
12,Ball State University,0.75
13,Eastern Michigan University,0.75
14,Fordham University,0.75
15,Clemson University,0.74
16,Pennsylvania State University,0.74
17,"University at Buffalo, the State University of New York",0.74
18,University of Iowa,0.74
19,Xavier University,0.74
20,Central Michigan University,0.73
21,Syracuse University,0.73
22,University of Texas at Austin,0.73
23,Washington State University,0.73
24,Elon University,0.72
25,University of Arizona,0.72
26,"University of California, Los Angeles",0.72
27,Youngstown State University,0.72
28,Purdue University,0.71
29,Rice University,0.71
30,The Citadel,0.71
31,"University of Minnesota, Twin Cities",0.71
32,New Mexico State University,0.7
33,University of Maine,0.7
34,University of Wisconsin-Madison,0.7
35,Virginia Military Institute,0.7
36,Brigham Young University,0.69
37,Butler University,0.69
38,Canisius University,0.69
39,The Ohio State University,0.69
40,University of Southern California,0.69
41,Winthrop University,0.69
42,Creighton University,0.68
43,Indiana State University,0.68
44,Siena College,0.68
45,Texas State University,0.68
46,Vanderbilt University,0.68
47,Dartmouth College,0.67
48,Saint Louis University,0.67
49,University of New Mexico,0.67
50,"University of South Carolina, Columbia",0.67
51,Utah State University,0.67
52,Loyola University Chicago,0.66
53,Santa Clara University,0.66
54,The University of Southern Mississippi,0.66
55,"University of California, Davis",0.66
56,University of Memphis,0.66
57,University of Utah,0.66
58,Western Kentucky University,0.66
59,Providence College,0.65
60,San Diego State University,0.65
61,"University of Arkansas, Fayetteville",0.65
62,University of Dayton,0.65
63,Duke University,0.64
64,East Carolina University,0.64
65,Grand Canyon University,0.64
66,Oklahoma State University,0.64
67,University of Oklahoma,0.64
68,"University of Missouri, Columbia",0.63
69,American University,0.62
70,Ashland University,0.62
71,Belmont University,0.62
72,Columbia University-Barnard College,0.62
73,Harvard University,0.62
74,Monmouth University,0.62
75,Texas Christian University,0.62
76,University of Alabama,0.62
77,University of Texas at San Antonio,0.62
78,"California State University, Fullerton",0.61
79,Idaho State University,0.61
80,University of Kansas,0.61
81,University of Louisville,0.61
82,"University of Tennessee, Knoxville",0.61
83,Bellarmine University,0.6
84,Eastern Illinois University,0.6
85,Marshall University,0.6
86,Presbyterian College,0.6
87,U.S. Military Academy,0.6
88,University of Denver,0.6
89,University of Florida,0.6
90,"University of Massachusetts, Amherst",0.6
91,University of Montana,0.6
92,Boise State University,0.59
93,Duquesne University,0.59
94,Illinois State University,0.59
95,Ohio University,0.59
96,Old Dominion University,0.59
97,Texas A&M University-Corpus Christi,0.59
98,University of Central Florida,0.59
99,Boston College,0.58
100,Campbell University,0.58
101,Long Beach State University,0.58
102,Louisiana State University,0.58
103,Pepperdine University,0.58
104,Seton Hall University,0.58
105,"University of Arkansas, Pine Bluff",0.58
106,"University of California, Riverside",0.58
107,University of Louisiana Monroe,0.58
108,Liberty University,0.57
109,Merrimack College,0.57
110,New Jersey Institute of Technology,0.57
111,Northwestern University,0.57
112,Troy University,0.57
113,"University of California, Berkeley",0.57
114,University of North Texas,0.57
115,Utah Tech University,0.57
116,Virginia Polytechnic Institute and State University,0.57
117,Baylor University,0.56
118,Coastal Carolina University,0.56
119,Furman University,0.56
120,Southeast Missouri State University,0.56
121,University of Illinois Urbana-Champaign,0.56
122,University of Missouri-Kansas City,0.56
123,University of Nebraska Omaha,0.56
124,University of North Florida,0.56
125,Utah Valley University,0.56
126,Wofford College,0.56
127,California Polytechnic State University,0.55
128,Manhattan University,0.55
129,Mississippi State University,0.55
130,Missouri State University,0.55
131,Purdue University Fort Wayne,0.55
132,Queens University of Charlotte,0.55
133,Southern Methodist University,0.55
134,University of Alabama at Birmingham,0.55
135,University of Connecticut,0.55
136,Western Michigan University,0.55
137,Berry College,0.54
138,Jacksonville University,0.54
139,Kent State University,0.54
140,Northern Arizona University,0.54
141,Southern Illinois University at Carbondale,0.54
142,"Texas A&M University, College Station",0.54
