team,wins,losses,draws,wp,owp,oowp,rpi
The Ohio State University,2,0,0,1.0,1.0,0.88,0.97
"Indiana University, Bloomington",2,0,0,1.0,1.0,0.79,0.95
University of Virginia,2,0,0,1.0,1.0,0.81,0.95
Stanford University,2,0,0,1.0,1.0,0.75,0.94
"University of Minnesota, Twin Cities",1,0,0,1.0,1.0,0.75,0.94
Florida State University,3,0,0,1.0,0.92,0.72,0.89
Michigan State University,1,0,1,0.75,1.0,0.81,0.89
Lehigh University,1,0,0,1.0,1.0,0.5,0.88
Louisiana State University,1,0,0,1.0,1.0,0.5,0.88
"University of Arkansas, Fayetteville",1,0,1,0.75,1.0,0.75,0.88
Virginia Military Institute,1,0,0,1.0,1.0,0.5,0.88
Ohio University,1,0,1,0.75,1.0,0.69,0.86
Butler University,1,0,1,0.75,0.88,0.88,0.85
Western Kentucky University,1,0,1,0.75,1.0,0.56,0.83
New Mexico State University,1,0,1,0.75,1.0,0.54,0.82
University of New Hampshire,0,0,1,0.5,1.0,0.75,0.81
Youngstown State University,1,0,1,0.75,1.0,0.5,0.81
University of Louisville,2,0,1,0.83,0.75,0.78,0.78
University of Arizona,3,0,0,1.0,0.67,0.75,0.77
Ball State University,0,1,0,0.0,1.0,1.0,0.75
"California State University, Fresno",1,0,0,1.0,0.5,1.0,0.75
Canisius University,1,0,0,1.0,1.0,0.0,0.75
Dartmouth College,1,0,0,1.0,0.5,1.0,0.75
Eastern Michigan University,1,0,0,1.0,1.0,0.0,0.75
Pennsylvania State University,1,1,0,0.5,1.0,0.5,0.75
Rice University,2,1,0,0.67,0.83,0.67,0.75
The Citadel,2,0,0,1.0,0.5,1.0,0.75
University of Maine,0,0,1,0.5,1.0,0.5,0.75
University of San Francisco,1,1,0,0.5,1.0,0.5,0.75
University of Southern California,1,0,1,0.75,0.75,0.75,0.75
University of Wisconsin-Milwaukee,0,1,0,0.0,1.0,1.0,0.75
Utah State University,1,0,0,1.0,1.0,0.0,0.75
Wagner College,0,0,2,0.5,1.0,0.5,0.75
Western Michigan University,0,0,1,0.5,1.0,0.5,0.75
Oklahoma State University,3,0,0,1.0,0.67,0.61,0.74
"University of Missouri, Columbia",1,1,1,0.5,1.0,0.46,0.74
Brigham Young University,1,0,1,0.75,0.75,0.69,0.73
"California State University, Fullerton",2,0,0,1.0,0.62,0.67,0.73
"University of North Carolina, Chapel Hill",2,0,0,1.0,0.5,0.92,0.73
Boston College,2,0,0,1.0,0.5,0.88,0.72
Elon University,1,0,0,1.0,0.5,0.88,0.72
Loyola University Chicago,1,0,1,0.75,0.75,0.62,0.72
Texas Christian University,2,0,0,1.0,0.5,0.88,0.72
Fordham University,2,0,0,1.0,0.5,0.83,0.71
"University at Buffalo, the State University of New York",2,0,0,1.0,0.5,0.83,0.71
University of Alabama,2,1,0,0.67,0.83,0.5,0.71
Duke University,1,1,0,0.5,0.75,0.79,0.7
Mercer University,3,0,0,1.0,0.5,0.78,0.7
Merrimack College,1,1,0,0.5,1.0,0.25,0.69
