team,wins,losses,draws,wp,owp,oowp,ripper
Florida State University,25,0,1,0.98,0.61,0.59,0.7
Brigham Young University,21,3,4,0.82,0.67,0.57,0.68
Stanford University,22,1,4,0.89,0.61,0.57,0.67
Pennsylvania State University,17,4,4,0.76,0.65,0.58,0.66
Clemson University,18,5,4,0.74,0.64,0.58,0.65
"University of North Carolina, Chapel Hill",15,2,8,0.76,0.63,0.58,0.65
Georgetown University,13,2,7,0.75,0.62,0.55,0.64
Saint Louis University,19,3,4,0.81,0.6,0.54,0.64
"University of Arkansas, Fayetteville",16,5,3,0.73,0.61,0.6,0.64
"University of California, Los Angeles",19,2,1,0.89,0.56,0.56,0.64
University of Georgia,13,5,6,0.67,0.66,0.58,0.64
"University of Nebraska, Lincoln",10,1,2,0.85,0.57,0.56,0.64
University of Pittsburgh,18,7,1,0.71,0.64,0.56,0.64
Brown University,12,3,2,0.76,0.6,0.55,0.63
Texas Tech University,18,3,5,0.79,0.58,0.56,0.63
University of Notre Dame,13,5,4,0.68,0.63,0.57,0.63
Harvard University,13,4,2,0.74,0.6,0.56,0.62
Michigan State University,15,5,4,0.71,0.6,0.57,0.62
Mississippi State University,15,6,5,0.67,0.62,0.56,0.62
Princeton University,10,5,4,0.63,0.65,0.56,0.62
University of Memphis,22,2,0,0.92,0.5,0.55,0.62
University of Texas at Austin,20,5,2,0.78,0.58,0.55,0.62
Columbia University-Barnard College,11,5,4,0.65,0.62,0.54,0.61
University of Alabama,14,6,5,0.66,0.62,0.56,0.61
"University of South Carolina, Columbia",13,3,6,0.73,0.56,0.58,0.61
University of Southern California,12,5,4,0.67,0.6,0.57,0.61
University of Wisconsin-Madison,15,6,4,0.68,0.6,0.57,0.61
"Indiana University, Bloomington",14,4,4,0.73,0.55,0.57,0.6
The Ohio State University,11,8,2,0.57,0.63,0.56,0.6
University of Iowa,14,5,5,0.69,0.57,0.56,0.6
"University of Tennessee, Knoxville",11,8,4,0.57,0.64,0.56,0.6
Xavier University,15,4,4,0.74,0.56,0.55,0.6
Santa Clara University,17,5,2,0.75,0.54,0.55,0.59
"Texas A&M University, College Station",11,9,4,0.54,0.64,0.55,0.59
Texas Christian University,12,6,3,0.64,0.58,0.57,0.59
University of Central Florida,11,7,2,0.6,0.6,0.57,0.59
University of South Alabama,17,2,3,0.84,0.5,0.52,0.59
Auburn University,10,7,5,0.57,0.58,0.58,0.58
Duke University,7,8,3,0.47,0.63,0.58,0.58
Gonzaga University,14,5,3,0.7,0.54,0.53,0.58
Louisiana State University,9,8,4,0.52,0.63,0.56,0.58
Old Dominion University,15,4,5,0.73,0.54,0.53,0.58
"Rutgers, The State University of New Jersey, New Brunswick",9,6,5,0.57,0.59,0.56,0.58
Towson University,16,3,3,0.8,0.51,0.49,0.58
University of Connecticut,11,4,6,0.67,0.56,0.54,0.58
University of Kentucky,12,3,6,0.71,0.52,0.57,0.58
University of Nebraska-Lincoln,8,5,1,0.61,0.58,0.57,0.58
Utah State University,15,8,1,0.65,0.58,0.53,0.58
Arizona State University,10,7,6,0.57,0.58,0.55,0.57
James Madison University,9,5,9,0.59,0.59,0.53,0.57
Liberty University,18,4,1,0.8,0.49,0.51,0.57
Pepperdine University,10,6,5,0.6,0.57,0.54,0.57
Providence College,12,5,5,0.66,0.54,0.55,0.57
Southern Methodist University,12,7,1,0.62,0.57,0.53,0.57
University of Arizona,9,8,5,0.52,0.61,0.54,0.57
"University of Colorado, Boulder",15,5,3,0.72,0.49,0.57,0.57
University of Louisiana Monroe,12,2,8,0.73,0.54,0.49,0.57
University of Virginia,10,3,6,0.68,0.51,0.56,0.57
University of Wisconsin-Milwaukee,12,4,5,0.69,0.54,0.51,0.57
Bucknell University,13,4,5,0.7,0.51,0.52,0.56
Dartmouth College,8,3,5,0.66,0.51,0.54,0.56
Georgia Southern University,13,7,1,0.64,0.53,0.52,0.56
Oklahoma State University,15,8,0,0.65,0.53,0.54,0.56
Samford University,13,5,6,0.67,0.53,0.51,0.56
St. John's University (New York),10,6,4,0.6,0.55,0.53,0.56
"University of California, Berkeley",8,7,7,0.52,0.58,0.56,0.56
University of Dayton,15,2,5,0.8,0.48,0.5,0.56
University of Florida,7,5,7,0.55,0.56,0.56,0.56
University of Michigan,7,8,4,0.47,0.61,0.57,0.56
"University of Minnesota, Twin Cities",8,6,4,0.56,0.55,0.56,0.56
University of Mississippi,8,8,3,0.5,0.6,0.54,0.56
University of South Florida,11,7,2,0.6,0.55,0.54,0.56
Vanderbilt University,9,5,5,0.61,0.53,0.56,0.56
Bowling Green State University,12,6,2,0.65,0.51,0.52,0.55
Grand Canyon University,14,6,5,0.66,0.5,0.52,0.55
Hofstra University,11,5,2,0.67,0.51,0.51,0.55
Lamar University,15,4,4,0.74,0.5,0.47,0.55
Monmouth University,13,6,2,0.67,0.52,0.51,0.55
New Mexico State University,11,6,4,0.62,0.53,0.5,0.55
Northwestern University,10,6,4,0.6,0.53,0.55,0.55
Quinnipiac University,13,5,1,0.71,0.51,0.48,0.55
San Diego State University,15,4,3,0.75,0.47,0.51,0.55
University of Illinois Urbana-Champaign,8,8,4,0.5,0.57,0.56,0.55
University of Montana,14,3,3,0.78,0.46,0.51,0.55
University of Portland,11,4,4,0.68,0.5,0.52,0.55
University of Utah,7,8,7,0.48,0.58,0.55,0.55
University of Washington,9,5,7,0.6,0.52,0.54,0.55
Utah Valley University,11,5,6,0.64,0.51,0.52,0.55
Virginia Polytechnic Institute and State University,8,8,3,0.5,0.56,0.56,0.55
Wake Forest University,11,3,6,0.7,0.48,0.56,0.55
West Virginia University,10,7,4,0.57,0.55,0.54,0.55
Western Michigan University,12,4,4,0.7,0.5,0.51,0.55
Appalachian State University,10,6,4,0.6,0.52,0.52,0.54
Baylor University,11,8,3,0.57,0.52,0.55,0.54
Boise State University,12,4,6,0.68,0.48,0.52,0.54
Colorado State University,13,7,5,0.62,0.51,0.5,0.54
Long Beach State University,11,8,4,0.57,0.53,0.52,0.54
Missouri State University,13,3,5,0.74,0.45,0.5,0.54
Saint Mary's College of California,11,6,4,0.62,0.5,0.52,0.54
St. Mary's University (Texas),1,0,0,1.0,0.39,0.39,0.54
U.S. Military Academy,12,6,4,0.64,0.51,0.51,0.54
University of Cincinnati,6,8,7,0.45,0.58,0.55,0.54
University of Maine,11,2,7,0.72,0.46,0.5,0.54
"University of Missouri, Columbia",6,10,4,0.4,0.61,0.55,0.54
University of Oklahoma,9,11,2,0.45,0.59,0.53,0.54
Washington State University,9,7,4,0.55,0.53,0.55,0.54
West Chester University of Pennsylvania,0,1,0,0.0,0.75,0.65,0.54
Western Carolina University,14,7,3,0.65,0.52,0.49,0.54
Butler University,7,8,7,0.48,0.55,0.54,0.53
California Polytechnic State University,10,9,4,0.52,0.54,0.5,0.53
Drake University,13,4,4,0.71,0.46,0.5,0.53
East Carolina University,10,5,6,0.62,0.48,0.52,0.53
Florida Gulf Coast University,12,6,5,0.63,0.51,0.48,0.53
Indiana University-Purdue University Indianapolis,11,3,5,0.71,0.47,0.49,0.53
Kent State University,13,7,3,0.63,0.49,0.51,0.53
La Salle University,13,6,4,0.65,0.49,0.51,0.53
Lipscomb University,15,5,2,0.73,0.44,0.5,0.53
Oregon State University,4,8,7,0.39,0.59,0.54,0.53
Radford University,14,7,2,0.65,0.5,0.49,0.53
South Dakota State University,13,6,4,0.65,0.47,0.52,0.53
Texas State University,10,8,4,0.55,0.53,0.51,0.53
"University at Buffalo, the State University of New York",9,5,6,0.6,0.51,0.51,0.53
"University of California, Irvine",11,8,7,0.56,0.52,0.51,0.53
University of Denver,10,4,7,0.64,0.47,0.53,0.53
University of North Texas,9,7,3,0.55,0.53,0.51,0.53
University of Northern Iowa,14,5,1,0.72,0.44,0.51,0.53
University of San Francisco,7,10,3,0.42,0.58,0.53,0.53
Boston College,5,9,6,0.4,0.57,0.55,0.52
East Tennessee State University,12,5,5,0.66,0.46,0.49,0.52
Loyola University Maryland,13,7,0,0.65,0.47,0.5,0.52
Northern Kentucky University,8,5,8,0.57,0.51,0.49,0.52
Ohio University,10,8,6,0.54,0.52,0.51,0.52
